sample_id,id,x0,x1,x2,x3,x4
0,0,0.5619469026548671,0.6134636264929426,0.0281355932203389,0.0924050632911392,0.4417391304347825
1,1,0.2853982300884955,0.1965255157437567,0.0030508474576271,0.0332278481012658,0.3078260869565217
2,2,0.5265486725663717,0.8175895765472313,0.0006779661016949,0.0284810126582278,0.426086956521739
3,3,0.0907079646017698,0.2301845819761129,0.0294915254237288,0.0436708860759493,0.3165217391304348
4,4,0.2942477876106194,0.2041259500542888,0.0196610169491525,0.0363924050632911,0.1460869565217391
5,5,0.2079646017699115,0.3181324647122693,0.0223728813559322,0.0427215189873417,0.1269565217391303
6,6,0.6615044247787609,0.3615635179153095,0.0223728813559322,0.0617088607594936,0.4678260869565216
7,7,0.2787610619469026,0.2377850162866449,0.1515254237288135,0.1848101265822785,0.417391304347826
8,8,0.2256637168141593,0.1292073832790444,0.0149152542372881,0.0316455696202531,0.1913043478260868
9,9,0.1725663716814158,0.2128121606948968,0.0115254237288135,0.0177215189873417,0.3095652173913042
10,10,0.161504424778761,0.3821932681867536,0.0016949152542372,0.030379746835443,0.0695652173913043
11,11,0.2853982300884955,0.0890336590662324,0.0566101694915254,0.0651898734177215,0.088695652173913
12,12,0.3053097345132742,0.1161780673181325,0.0115254237288135,0.0183544303797468,0.1704347826086956
13,13,0.2809734513274337,0.4505971769815419,0.0010169491525423,0.0465189873417721,0.2330434782608695
14,14,0.7876106194690266,0.6775244299674269,0.5074576271186441,0.5800632911392405,0.4591304347826086
15,15,0.5088495575221238,0.6655808903365906,0.0366101694915254,0.105379746835443,0.546086956521739
16,16,0.3650442477876106,0.4538545059717698,0.0050847457627118,0.0746835443037974,0.6330434782608694
17,17,0.3053097345132742,0.251900108577633,0.0152542372881355,0.0262658227848101,0.1130434782608695
18,18,0.5442477876106194,0.6373507057546147,0.0542372881355932,0.1136075949367088,0.3999999999999999
19,19,0.6504424778761061,0.4017372421281217,0.003728813559322,0.075632911392405,0.4139130434782608
20,20,0.3075221238938053,0.2714440825190011,0.1094915254237288,0.110759493670886,0.2365217391304347
21,21,0.7035398230088495,0.5743756786102064,0.0335593220338983,0.0920886075949367,0.4556521739130434
22,22,0.6216814159292036,0.6004343105320304,0.2694915254237288,0.2965189873417722,0.3930434782608695
23,23,0.1769911504424778,0.2095548317046688,0.0111864406779661,0.0164556962025316,0.1026086956521739
24,24,0.3141592920353983,0.1976112920738328,0.031864406779661,0.0477848101265822,0.3182608695652174
25,25,0.3384955752212388,0.3583061889250815,0.0647457627118644,0.1072784810126582,0.2086956521739129
26,26,0.3008849557522124,0.2052117263843648,0.0050847457627118,0.0183544303797468,0.1513043478260869
27,27,0.4446902654867256,0.4495114006514659,0.0494915254237288,0.0746835443037974,0.3826086956521738
28,28,0.1039823008849557,0.1552660152008685,0.0349152542372881,0.0496835443037974,0.2156521739130434
29,29,0.2654867256637168,0.4267100977198697,0.0023728813559322,0.0098101265822784,0.2765217391304347
